Name,File Name,File
3d glasses,3d-glasses.svg,https://wentin.github.io/game-icons/svg/3d-glasses.svg
3d hammer,3d-hammer.svg,https://wentin.github.io/game-icons/svg/3d-hammer.svg
3d meeple,3d-meeple.svg,https://wentin.github.io/game-icons/svg/3d-meeple.svg
3d stairs,3d-stairs.svg,https://wentin.github.io/game-icons/svg/3d-stairs.svg
abacus,abacus.svg,https://wentin.github.io/game-icons/svg/abacus.svg
abbot meeple,abbot-meeple.svg,https://wentin.github.io/game-icons/svg/abbot-meeple.svg
abstract 001,abstract-001.svg,https://wentin.github.io/game-icons/svg/abstract-001.svg
abstract 002,abstract-002.svg,https://wentin.github.io/game-icons/svg/abstract-002.svg
abstract 003,abstract-003.svg,https://wentin.github.io/game-icons/svg/abstract-003.svg
abstract 004,abstract-004.svg,https://wentin.github.io/game-icons/svg/abstract-004.svg
abstract 005,abstract-005.svg,https://wentin.github.io/game-icons/svg/abstract-005.svg
abstract 006,abstract-006.svg,https://wentin.github.io/game-icons/svg/abstract-006.svg
abstract 007,abstract-007.svg,https://wentin.github.io/game-icons/svg/abstract-007.svg
abstract 008,abstract-008.svg,https://wentin.github.io/game-icons/svg/abstract-008.svg
abstract 009,abstract-009.svg,https://wentin.github.io/game-icons/svg/abstract-009.svg
abstract 010,abstract-010.svg,https://wentin.github.io/game-icons/svg/abstract-010.svg
abstract 011,abstract-011.svg,https://wentin.github.io/game-icons/svg/abstract-011.svg
abstract 012,abstract-012.svg,https://wentin.github.io/game-icons/svg/abstract-012.svg
abstract 013,abstract-013.svg,https://wentin.github.io/game-icons/svg/abstract-013.svg
abstract 014,abstract-014.svg,https://wentin.github.io/game-icons/svg/abstract-014.svg
abstract 015,abstract-015.svg,https://wentin.github.io/game-icons/svg/abstract-015.svg
abstract 016,abstract-016.svg,https://wentin.github.io/game-icons/svg/abstract-016.svg
abstract 017,abstract-017.svg,https://wentin.github.io/game-icons/svg/abstract-017.svg
abstract 018,abstract-018.svg,https://wentin.github.io/game-icons/svg/abstract-018.svg
abstract 019,abstract-019.svg,https://wentin.github.io/game-icons/svg/abstract-019.svg
abstract 020,abstract-020.svg,https://wentin.github.io/game-icons/svg/abstract-020.svg
abstract 021,abstract-021.svg,https://wentin.github.io/game-icons/svg/abstract-021.svg
abstract 022,abstract-022.svg,https://wentin.github.io/game-icons/svg/abstract-022.svg
abstract 023,abstract-023.svg,https://wentin.github.io/game-icons/svg/abstract-023.svg
abstract 024,abstract-024.svg,https://wentin.github.io/game-icons/svg/abstract-024.svg
abstract 025,abstract-025.svg,https://wentin.github.io/game-icons/svg/abstract-025.svg
abstract 026,abstract-026.svg,https://wentin.github.io/game-icons/svg/abstract-026.svg
abstract 027,abstract-027.svg,https://wentin.github.io/game-icons/svg/abstract-027.svg
abstract 028,abstract-028.svg,https://wentin.github.io/game-icons/svg/abstract-028.svg
abstract 029,abstract-029.svg,https://wentin.github.io/game-icons/svg/abstract-029.svg
abstract 030,abstract-030.svg,https://wentin.github.io/game-icons/svg/abstract-030.svg
abstract 031,abstract-031.svg,https://wentin.github.io/game-icons/svg/abstract-031.svg
abstract 032,abstract-032.svg,https://wentin.github.io/game-icons/svg/abstract-032.svg
abstract 033,abstract-033.svg,https://wentin.github.io/game-icons/svg/abstract-033.svg
abstract 034,abstract-034.svg,https://wentin.github.io/game-icons/svg/abstract-034.svg
abstract 035,abstract-035.svg,https://wentin.github.io/game-icons/svg/abstract-035.svg
abstract 036,abstract-036.svg,https://wentin.github.io/game-icons/svg/abstract-036.svg
abstract 037,abstract-037.svg,https://wentin.github.io/game-icons/svg/abstract-037.svg
abstract 038,abstract-038.svg,https://wentin.github.io/game-icons/svg/abstract-038.svg
abstract 039,abstract-039.svg,https://wentin.github.io/game-icons/svg/abstract-039.svg
abstract 040,abstract-040.svg,https://wentin.github.io/game-icons/svg/abstract-040.svg
abstract 041,abstract-041.svg,https://wentin.github.io/game-icons/svg/abstract-041.svg
abstract 042,abstract-042.svg,https://wentin.github.io/game-icons/svg/abstract-042.svg
abstract 043,abstract-043.svg,https://wentin.github.io/game-icons/svg/abstract-043.svg
abstract 044,abstract-044.svg,https://wentin.github.io/game-icons/svg/abstract-044.svg
abstract 045,abstract-045.svg,https://wentin.github.io/game-icons/svg/abstract-045.svg
abstract 046,abstract-046.svg,https://wentin.github.io/game-icons/svg/abstract-046.svg
abstract 047,abstract-047.svg,https://wentin.github.io/game-icons/svg/abstract-047.svg
abstract 048,abstract-048.svg,https://wentin.github.io/game-icons/svg/abstract-048.svg
abstract 049,abstract-049.svg,https://wentin.github.io/game-icons/svg/abstract-049.svg
abstract 050,abstract-050.svg,https://wentin.github.io/game-icons/svg/abstract-050.svg
abstract 051,abstract-051.svg,https://wentin.github.io/game-icons/svg/abstract-051.svg
abstract 052,abstract-052.svg,https://wentin.github.io/game-icons/svg/abstract-052.svg
abstract 053,abstract-053.svg,https://wentin.github.io/game-icons/svg/abstract-053.svg
abstract 054,abstract-054.svg,https://wentin.github.io/game-icons/svg/abstract-054.svg
abstract 055,abstract-055.svg,https://wentin.github.io/game-icons/svg/abstract-055.svg
abstract 056,abstract-056.svg,https://wentin.github.io/game-icons/svg/abstract-056.svg
abstract 057,abstract-057.svg,https://wentin.github.io/game-icons/svg/abstract-057.svg
abstract 058,abstract-058.svg,https://wentin.github.io/game-icons/svg/abstract-058.svg
abstract 059,abstract-059.svg,https://wentin.github.io/game-icons/svg/abstract-059.svg
abstract 060,abstract-060.svg,https://wentin.github.io/game-icons/svg/abstract-060.svg
abstract 061,abstract-061.svg,https://wentin.github.io/game-icons/svg/abstract-061.svg
abstract 062,abstract-062.svg,https://wentin.github.io/game-icons/svg/abstract-062.svg
abstract 063,abstract-063.svg,https://wentin.github.io/game-icons/svg/abstract-063.svg
abstract 064,abstract-064.svg,https://wentin.github.io/game-icons/svg/abstract-064.svg
abstract 065,abstract-065.svg,https://wentin.github.io/game-icons/svg/abstract-065.svg
abstract 066,abstract-066.svg,https://wentin.github.io/game-icons/svg/abstract-066.svg
abstract 067,abstract-067.svg,https://wentin.github.io/game-icons/svg/abstract-067.svg
abstract 068,abstract-068.svg,https://wentin.github.io/game-icons/svg/abstract-068.svg
abstract 069,abstract-069.svg,https://wentin.github.io/game-icons/svg/abstract-069.svg
abstract 070,abstract-070.svg,https://wentin.github.io/game-icons/svg/abstract-070.svg
abstract 071,abstract-071.svg,https://wentin.github.io/game-icons/svg/abstract-071.svg
abstract 072,abstract-072.svg,https://wentin.github.io/game-icons/svg/abstract-072.svg
abstract 073,abstract-073.svg,https://wentin.github.io/game-icons/svg/abstract-073.svg
abstract 074,abstract-074.svg,https://wentin.github.io/game-icons/svg/abstract-074.svg
abstract 075,abstract-075.svg,https://wentin.github.io/game-icons/svg/abstract-075.svg
abstract 076,abstract-076.svg,https://wentin.github.io/game-icons/svg/abstract-076.svg
abstract 077,abstract-077.svg,https://wentin.github.io/game-icons/svg/abstract-077.svg
abstract 078,abstract-078.svg,https://wentin.github.io/game-icons/svg/abstract-078.svg
abstract 079,abstract-079.svg,https://wentin.github.io/game-icons/svg/abstract-079.svg
abstract 080,abstract-080.svg,https://wentin.github.io/game-icons/svg/abstract-080.svg
abstract 081,abstract-081.svg,https://wentin.github.io/game-icons/svg/abstract-081.svg
abstract 082,abstract-082.svg,https://wentin.github.io/game-icons/svg/abstract-082.svg
abstract 083,abstract-083.svg,https://wentin.github.io/game-icons/svg/abstract-083.svg
abstract 084,abstract-084.svg,https://wentin.github.io/game-icons/svg/abstract-084.svg
abstract 085,abstract-085.svg,https://wentin.github.io/game-icons/svg/abstract-085.svg
abstract 086,abstract-086.svg,https://wentin.github.io/game-icons/svg/abstract-086.svg
abstract 087,abstract-087.svg,https://wentin.github.io/game-icons/svg/abstract-087.svg
abstract 088,abstract-088.svg,https://wentin.github.io/game-icons/svg/abstract-088.svg
abstract 089,abstract-089.svg,https://wentin.github.io/game-icons/svg/abstract-089.svg
abstract 090,abstract-090.svg,https://wentin.github.io/game-icons/svg/abstract-090.svg
abstract 091,abstract-091.svg,https://wentin.github.io/game-icons/svg/abstract-091.svg
abstract 092,abstract-092.svg,https://wentin.github.io/game-icons/svg/abstract-092.svg
abstract 093,abstract-093.svg,https://wentin.github.io/game-icons/svg/abstract-093.svg
abstract 094,abstract-094.svg,https://wentin.github.io/game-icons/svg/abstract-094.svg
abstract 095,abstract-095.svg,https://wentin.github.io/game-icons/svg/abstract-095.svg
abstract 096,abstract-096.svg,https://wentin.github.io/game-icons/svg/abstract-096.svg
abstract 097,abstract-097.svg,https://wentin.github.io/game-icons/svg/abstract-097.svg
abstract 098,abstract-098.svg,https://wentin.github.io/game-icons/svg/abstract-098.svg
abstract 099,abstract-099.svg,https://wentin.github.io/game-icons/svg/abstract-099.svg
abstract 100,abstract-100.svg,https://wentin.github.io/game-icons/svg/abstract-100.svg
abstract 101,abstract-101.svg,https://wentin.github.io/game-icons/svg/abstract-101.svg
abstract 102,abstract-102.svg,https://wentin.github.io/game-icons/svg/abstract-102.svg
abstract 103,abstract-103.svg,https://wentin.github.io/game-icons/svg/abstract-103.svg
abstract 104,abstract-104.svg,https://wentin.github.io/game-icons/svg/abstract-104.svg
abstract 105,abstract-105.svg,https://wentin.github.io/game-icons/svg/abstract-105.svg
abstract 106,abstract-106.svg,https://wentin.github.io/game-icons/svg/abstract-106.svg
abstract 107,abstract-107.svg,https://wentin.github.io/game-icons/svg/abstract-107.svg
abstract 108,abstract-108.svg,https://wentin.github.io/game-icons/svg/abstract-108.svg
abstract 109,abstract-109.svg,https://wentin.github.io/game-icons/svg/abstract-109.svg
abstract 110,abstract-110.svg,https://wentin.github.io/game-icons/svg/abstract-110.svg
abstract 111,abstract-111.svg,https://wentin.github.io/game-icons/svg/abstract-111.svg
abstract 112,abstract-112.svg,https://wentin.github.io/game-icons/svg/abstract-112.svg
abstract 113,abstract-113.svg,https://wentin.github.io/game-icons/svg/abstract-113.svg
abstract 114,abstract-114.svg,https://wentin.github.io/game-icons/svg/abstract-114.svg
abstract 115,abstract-115.svg,https://wentin.github.io/game-icons/svg/abstract-115.svg
abstract 116,abstract-116.svg,https://wentin.github.io/game-icons/svg/abstract-116.svg
abstract 117,abstract-117.svg,https://wentin.github.io/game-icons/svg/abstract-117.svg
abstract 118,abstract-118.svg,https://wentin.github.io/game-icons/svg/abstract-118.svg
abstract 119,abstract-119.svg,https://wentin.github.io/game-icons/svg/abstract-119.svg
abstract 120,abstract-120.svg,https://wentin.github.io/game-icons/svg/abstract-120.svg
abstract 121,abstract-121.svg,https://wentin.github.io/game-icons/svg/abstract-121.svg
ace,ace.svg,https://wentin.github.io/game-icons/svg/ace.svg
achievement,achievement.svg,https://wentin.github.io/game-icons/svg/achievement.svg
achilles heel,achilles-heel.svg,https://wentin.github.io/game-icons/svg/achilles-heel.svg
acid blob,acid-blob.svg,https://wentin.github.io/game-icons/svg/acid-blob.svg
acid tube,acid-tube.svg,https://wentin.github.io/game-icons/svg/acid-tube.svg
acid,acid.svg,https://wentin.github.io/game-icons/svg/acid.svg
acorn,acorn.svg,https://wentin.github.io/game-icons/svg/acorn.svg
acoustic megaphone,acoustic-megaphone.svg,https://wentin.github.io/game-icons/svg/acoustic-megaphone.svg
acrobatic,acrobatic.svg,https://wentin.github.io/game-icons/svg/acrobatic.svg
aerial signal,aerial-signal.svg,https://wentin.github.io/game-icons/svg/aerial-signal.svg
aerodynamic harpoon,aerodynamic-harpoon.svg,https://wentin.github.io/game-icons/svg/aerodynamic-harpoon.svg
aerosol,aerosol.svg,https://wentin.github.io/game-icons/svg/aerosol.svg
